rank	paper_id	star	repo_name
178	ICSE-2017-36	20	Adobee/ACS
179	ICSE-2021-92	20	STAR-RG/shipwright
180	ICSE-2022-16	20	zetang94/ICSE2022_AST_Trans
181	ICSE-2022-45	20	AutomatedProgramRepair-2021/dear-auto-fix
182	ICSE-2022-102	20	JordanSamhi/JuCify
183	ASE-2017-13	20	senticr/SentiCR
184	ASE-2017-61	20	season-lab/memsight
185	ASE-2019-22	20	xgdsmileboy/GenPat
186	ISSTA-2018-29	20	isstac/badger
187	ISSTA-2021-14	20	TOLLER-Android/main
188	FSE-2020-14	20	vrthra/mimid
189	ICSE-2020-29	19	testingautomated-usi/selforacle
190	ICSE-2021-44	19	lukasmoldon/GHStreaksThesis
191	ICSE-2021-45	19	sola-st/IdBench
192	ISSTA-2020-13	19	kupl/ADAPT
193	ISSTA-2020-31	19	plast-lab/native-scanner
194	FSE-2018-20	19	MrVPlusOne/Singularity
195	FSE-2021-27	19	Song-Li/ObjLupAnsys
196	ICSE-2020-125	19	twelveand0/CarrotsBlender
197	ASE-2022-23	19	soarsmu/Compressor
198	ICSE-2021-130	18	SMAT-Lab/SnifferDog
199	ICSE-2022-124	18	SophieHYe/RewardRepair
200	ICSE-2022-186	18	RosaliaTufano/code_review_automation
201	FSE-2017-91	18	Microsoft/rudder
202	ASE-2019-15	18	Tbabm/PRSummarizer
203	ISSTA-2018-25	18	karkhaz/tuscan
204	ISSTA-2019-18	18	secure-software-engineering/swan
205	ISSTA-2022-12	18	yonsei-cysec/XBA
206	ISSTA-2022-23	18	codingsoo/REST_GO
207	ISSTA-2022-29	18	diewufeihong/SLIME
208	FSE-2019-72	18	bdqnghi/SAR_API_mapping
209	FSE-2020-30	18	xlab-uiuc/cdep-fse
210	FSE-2022-13	18	BuiltOntheRock/FSE22_BuiltOntheRock
211	ICSE-2019-0	17	TruX-DTF/debug-method-name
212	ICSE-2022-54	17	FudanSELab/DeepTraLog
213	ICSE-2022-120	17	MVDetection/MVD
214	ASE-2017-60	17	srg-imperial/klee-float
215	ASE-2019-88	17	Kawser-nerd/CLCDSA
216	ISSTA-2022-3	17	ZZR0/ISSTA22-CodeStudy
217	FSE-2021-63	17	facebookresearch/mmd
218	FSE-2022-90	17	zhangzwwww/DietCode
219	ASE-2022-27	17	sola-st/crystalbleu
220	ASE-2022-71	17	se2p/whisker
221	ICSE-2018-97	16	Ultimanecat/DefectRepairing
222	ICSE-2019-11	16	AndroidTestBugReport/ReCDroid
223	ICSE-2019-27	16	tianyi-zhang/ExampleStack-ICSE-Artifact
224	ASE-2017-5	16	wsong-nj/EHBDroid
225	ASE-2018-19	16	logpai/LoggingDescriptions
226	ASE-2021-59	16	lhmtriet/DeepCVA
227	ISSTA-2021-24	16	drzchen/movec
228	FSE-2019-50	16	TestingResearchIllinois/iFixFlakies
229	FSE-2021-102	16	andromeda/lya
230	ICSE-2017-23	15	michaelpradel/ConTeGe
231	ICSE-2019-83	15	sealuzh/PerformanceHat
232	ICSE-2020-44	15	sjmini/icse2020-Solidity
233	ICSE-2021-15	15	xlab-uiuc/open-cevo
234	ICSE-2021-102	15	kbcao/sequer
235	ICSE-2022-39	15	neu-se/CONFETTI
236	ICSE-2022-72	15	rschumi0/ExAIS
237	ICSE-2022-88	15	NAIST-SE/GHSponsors
238	ASE-2021-54	15	OpsPAI/aid
239	ISSTA-2020-34	15	phaller/reactive-async
240	ISSTA-2021-12	15	ylimit/ModelDiff
241	ISSTA-2021-36	15	xlab-uiuc/ctest_prio_art
242	FSE-2018-25	15	columbia/appflow
243	FSE-2019-30	15	SerVal-DTF/iFixR
244	ICSE-2018-18	14	squaresLab/footpatch
245	ICSE-2021-24	14	SmallkeyChen/RobOT
246	ICSE-2021-108	14	salmanee/Librarian
247	ICSE-2022-36	14	saltudelft/codefill
248	ICSE-2022-103	14	PyEGo/PyEGo
249	ICSE-2022-132	14	v587su/NLQF
250	ASE-2018-57	14	squaresLab/SemanticCrashBucketing
251	ASE-2020-49	14	tbabm/CUP
252	ASE-2021-65	14	cyruscyliu/firmguide
253	ISSTA-2020-14	14	deepgini/deepgini
254	ISSTA-2020-23	14	COLA-Laboratory/issta2020
255	ISSTA-2021-21	14	yannicnoller/qfuzz
256	FSE-2022-40	14	sslab-gatech/robofuzz
257	ASE-2022-41	14	testsmt/janus
258	ASE-2022-96	14	kwz219/NPR4J
259	ICSE-2019-39	13	deekshaarya4/Info_Types_in_OSS_Issue_Discussions
260	ICSE-2019-99	13	archer29m/AndroidSlicer
261	ICSE-2021-123	13	theosotr/cynthia
262	ICSE-2022-8	13	ICSE2022FL/ICSE2022FLCode
263	ICSE-2022-41	13	BlackJocker1995/uavga
264	ASE-2020-81	13	SerVal-DTF/DL4PatchCorrectness
265	ISSTA-2019-34	13	ashgeek/Ethracer
266	ISSTA-2020-17	13	uiuc-arc/flash
267	ISSTA-2022-2	13	ljiahao/TeLL
268	ISSTA-2022-55	13	yuntongzhang/vulnfix
269	FSE-2019-15	13	matteobiagiola/FSE19-submission-material-DIG
270	FSE-2020-10	13	vaibhavbsharma/java-ranger
271	ICSE-2020-117	13	kelloggm/object-construction-checker
272	ASE-2022-52	13	sharedata21/HTFuzz
273	ASE-2022-91	13	SophieHYe/SelfAPR
